"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Environment Variables", "Shell Script", "Ignore", "XML", "SQL", "Prisma", "Docker", "YAML", "JavaScript React", "comment", "blank", "total"
"d:\horizon\chat\views\signup.ejs", "HTML", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 120
"d:\horizon\chat\views\verify.ejs", "HTML", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 135
"d:\horizon\coming-soon\config\sample.env", "Environment Variables", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\coming-soon\controllers\controllers.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\horizon\coming-soon\models\Mail.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\coming-soon\package-lock.json", "JSON", 2327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2328
"d:\horizon\coming-soon\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\horizon\coming-soon\public\assets\coming-soon\css\style.css", "CSS", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 29, 178
"d:\horizon\coming-soon\routes\routes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\horizon\coming-soon\soon.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 92
"d:\horizon\coming-soon\views\coming-soon\index.ejs", "HTML", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 65
"d:\horizon\package-lock.json", "JSON", 707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 708
"d:\horizon\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\horizon\server\.eslintrc.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\horizon\server\app.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 16, 178
"d:\horizon\server\config\local.sh", "Shell Script", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\horizon\server\config\sample.env", "Environment Variables", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 12
"d:\horizon\server\controllers\api.controllers.js", "JavaScript", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 101, 429
"d:\horizon\server\controllers\auth.controllers.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 43
"d:\horizon\server\controllers\comments.controllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 20, 123
"d:\horizon\server\controllers\json_html_parser.controllers.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 43, 186
"d:\horizon\server\controllers\user.controllers.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 178
"d:\horizon\server\data\blog.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\data\blog.sample.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\horizon\server\data\chat.sample.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"d:\horizon\server\data\horizon.sample.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"d:\horizon\server\data\parser.landing.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 276
"d:\horizon\server\data\samples\demo.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\data\samples\hero.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\data\samples\horizon.sample.data.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"d:\horizon\server\data\samples\landing.sections.model.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 276
"d:\horizon\server\data\seed.json", "JSON", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 246
"d:\horizon\server\data\seed\abouts.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\horizon\server\data\seed\admins.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\horizon\server\data\seed\blogs.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"d:\horizon\server\data\seed\galleries.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"d:\horizon\server\data\seed\horizons.json", "JSON", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220
"d:\horizon\server\data\seed\landings.json", "JSON", 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 423
"d:\horizon\server\data\seed\mails.json", "JSON", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271
"d:\horizon\server\data\seed\seos.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"d:\horizon\server\data\seo.sample.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\horizon\server\graphql\schema.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 47
"d:\horizon\server\models\About.model.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Admin.model.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Blog.model.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\horizon\server\models\Gallery.model.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
